accountId,summonerName,tier,rank
KWigpUCOKjWgG4yOKEj5Z0wB80KQmtSydQ5uylr-IdeJ,임영록,DIAMOND,IV
StQ-dbuMPqYU7G-eHsM17z61jXNyBvby7pTRiTgWrsj3,롤에빠진청년,DIAMOND,IV
9e_2BCeSFNr6Ete9TTBnfQwoOTRrDUXd2H3hctq6RIXw,Dark83,DIAMOND,IV
sOQM-m5zSls9pqNItcNs0mnpuEAoH1JXP67gK48oLFAZ,여왕벌보면던짐,DIAMOND,IV
hXaYjcWlN3hanfGSyYufotjyveMk8xZBp4Bt62YBwsa9,digh1357,DIAMOND,IV
hHcwjJQbaJ3gkqpR6fop_UFrSbfic0ybKurFAW8yv3xp,Zed Blue Eat,DIAMOND,IV
gsJ_KhJRLO-QyXZiUCr1lEGT4a1rKLlWxTUGhlsEp_Q_,김쳐녀,DIAMOND,IV
6lwnMxo9rfI322KW-oDzjm3iDtzMM2-VdkIeE3zfzMsE,짱난이,DIAMOND,IV
nw4CHM_8Moq8DGD-iNOMkUCPue_PN1GxeZe6qJ5NuUw4,물 냥,DIAMOND,IV
QilV-bXDNdPGdVH3xS1XkJCzc3XvEVEIeHGQb4fOm2Qv,오빠미드이즈한다,DIAMOND,IV
vAjhtoafKlcOdkShYpAHqJRf3DGNi-0Vn5a4O6bBVA_u,지는건정글차E,DIAMOND,IV
CD6CNDOuzETsHkoq3iyGZc41X0t-CiFmOjDRgOmDfidg,PLAY IT,DIAMOND,IV
NcdLIhpIhNuSW9JCAcE_B-bRmWbsIA55vRDekmdXBhQG,포식자벨트누누,DIAMOND,IV
KMoMhbQfF_60mR6pTUoUCTAwN88XKXOO-jsBWQL0giq4,E Q Demasia,DIAMOND,IV
FE9uMRNzfaqpc0r6p7t8IDcI0epkLyQcOOT0r6XOhlum,모모링의머머링,DIAMOND,IV
Nkmm3DHhrAlgNE-gfFPREYNGSxpofWYn0Zg8JJDM6qpt,살기좋은미사,DIAMOND,IV
g5O2-X-lkbSaVeF1_ln64Mfw_qf4XwhAqxwM3adpDxKk,sexyorca,DIAMOND,IV
nLAW9_2PAsLRRPKQxJ1exB3X7Vu8WvSSMdVC5AP-BMNh,porsche pan4mera,DIAMOND,IV
PPQFYeOginCxTaLnNkMVpSSpk5c0d2Lenh9qjszG2oKb,azzaa,DIAMOND,IV
bFlXKrwdRKMB7r1PjMyCbzGdCgO6sURBRTy2tpmmFp4f,taeclil,DIAMOND,IV
yUurXQJCG58qu-ImSkh7ARALCRGpBNaqu3MsH7JQNkGI,아메성애자,DIAMOND,IV
3tsdJyiBqUbTjwXib-rM_Jow6-DipUu_A5dtcvI4lCJJ,까불면팰거야,DIAMOND,IV
h3tBHXBbdI_i-oPyLzcQtmrqPFJcLoKnta-5q-DvraXU,통 장,DIAMOND,IV
F8I4upko0GIigOQXVrBWe5PfyPksOH9Tf0H0W3cExlWS,하삼동커피단골,DIAMOND,IV
sHQQuz64yuPNCrvJD_heHyEGj4XB8Ulc1so92iFbk_cF,정글알리스타,DIAMOND,IV
sZO2GAIwz4Oen9kAwGq63vKbXnNrVg6BtWtBAD8VlL_R,헬프맨,DIAMOND,IV
4-Mu03Zz_ZZYHDjFvXYYppT1GnhMYgZeNvd7grtLen3P,원딜의 부모님,DIAMOND,IV
lzOq8vhVWJ0RAMRBBl2a0z4jROnqOA0J2ekVOwQD0CU8,이악순,DIAMOND,IV
V_Wp4pV86ZUVjVK3Uc3kvjfS702IrPeCh2Cd5XES0J5D,차 북,DIAMOND,IV
OI5NLug6l_Tzcap7l4ony4uv0fIPmSwh7MxTKMEcExXb,Est light,DIAMOND,IV
H3tmB07-q35cRp0dPTcQ7A1-pqgWkq4i2aZ_nfhuWS-N,서폿과 원딜사이,DIAMOND,IV
8eLFgTE8fZONDq36ckkei1jac3U7CIoXy7W2axo6oJzm,오진규 화이팅,DIAMOND,IV
_UTn1ybjdNI5PFT2M1ANufFnrmL34k6lUPSLAq073yZU,원딜 가엿,DIAMOND,IV
fuhnKpc2S72791GgLSDYQ2hyFZ_ZB-kgyZ9LHOdXY9KQ,11월소해,DIAMOND,IV
d0sOdQOFj34--emTrU7ISshDR0KLUU6zPkK0JHr7_b56,코뜨쩨로,DIAMOND,IV
UV5-qrAzE5gva3NBJpVSKVr6cdX2yFYI-TZQL57henyo,기무계영,DIAMOND,IV
Hbgx5m2qKK26x6erBYQSOvEuQHjZnk6S914YFssAabmS,Sup HJ,DIAMOND,IV
LyyDjEgu4KY7qMBM9VhcvECbaIFoN2s2Nwia3HXIjaP3,레넥톤 전문 계정,DIAMOND,IV
C_IpJ4sChAR7oa6HQzbI8XzXkVDPKitDXFp0jmBHB6fc,봉지가좋은박우진,DIAMOND,IV
V5RHyJXQmZtxaWmOMiCcLGkwDoH_fs-cUZxBRQDhUgED,랜턴 안 탈래,DIAMOND,IV
V9-SoQDCTTZksHBtOqvO0OhASYy7TGn62NY17-RCQbno,T1 Gumyusi,DIAMOND,IV
RaoTzqiwC5XG53p8_x7kqkQJVoeG2pC5V4B6WfKcWuL3,민간오락우승자,DIAMOND,IV
tqcZ1lWbsUYjDBkNDfQOCgJ10doge81htuUi8vxXjzXx,헌       윤,DIAMOND,IV
C_IpJ4sChAR7oa6HQzbI8XzXkVDPKitDXFp0jmBHB6fc,봉지가좋은박우진,DIAMOND,IV
V5RHyJXQmZtxaWmOMiCcLGkwDoH_fs-cUZxBRQDhUgED,랜턴 안 탈래,DIAMOND,IV
V9-SoQDCTTZksHBtOqvO0OhASYy7TGn62NY17-RCQbno,T1 Gumyusi,DIAMOND,IV
RaoTzqiwC5XG53p8_x7kqkQJVoeG2pC5V4B6WfKcWuL3,민간오락우승자,DIAMOND,IV
tqcZ1lWbsUYjDBkNDfQOCgJ10doge81htuUi8vxXjzXx,헌       윤,DIAMOND,IV
